epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.509,1.44111,1.01824,1.01876,0.70531,0.54189,0.62368,0.35644,1.3035,0.80184,0.94482,0.0033251,0.0033251,0.0033251
2,444.053,1.38411,0.84265,0.97769,0.76354,0.56725,0.66158,0.3879,1.26552,0.76169,0.93567,0.00659252,0.00659252,0.00659252
3,670,1.43078,0.86408,0.98877,0.7569,0.55574,0.64488,0.37415,1.33204,0.7889,0.95922,0.00979393,0.00979393,0.00979393
4,891.994,1.43947,0.85695,0.99277,0.74284,0.56155,0.65477,0.38164,1.30103,0.78574,0.95101,0.009703,0.009703,0.009703
5,1102.74,1.39988,0.82834,0.98497,0.75558,0.56132,0.65471,0.3764,1.32717,0.79338,0.95664,0.009604,0.009604,0.009604
6,1314.85,1.38715,0.81239,0.9799,0.75654,0.57203,0.66527,0.39537,1.27417,0.72062,0.94258,0.009505,0.009505,0.009505
7,1526.27,1.35988,0.79122,0.97406,0.75667,0.58577,0.67888,0.39962,1.27195,0.73658,0.93493,0.009406,0.009406,0.009406
8,1737.04,1.34828,0.77751,0.97052,0.76108,0.59026,0.68261,0.40368,1.2654,0.7139,0.93582,0.009307,0.009307,0.009307
9,1948.02,1.33541,0.7646,0.96275,0.77993,0.58766,0.6873,0.41269,1.23899,0.7002,0.93262,0.009208,0.009208,0.009208
10,2157.86,1.32526,0.75305,0.96123,0.78022,0.59158,0.6898,0.41195,1.25092,0.69939,0.934,0.009109,0.009109,0.009109
11,2367.44,1.31498,0.74956,0.95911,0.77415,0.59879,0.69604,0.41637,1.23707,0.69736,0.92926,0.00901,0.00901,0.00901
12,2578.18,1.30518,0.73739,0.95603,0.78023,0.60332,0.70187,0.42332,1.23122,0.68515,0.92687,0.008911,0.008911,0.008911
13,2788.32,1.30449,0.73222,0.95476,0.78292,0.61046,0.70547,0.42187,1.23842,0.68741,0.93004,0.008812,0.008812,0.008812
14,2998.19,1.28936,0.72665,0.95111,0.78618,0.60827,0.70833,0.42696,1.22181,0.68046,0.92486,0.008713,0.008713,0.008713
15,3208.13,1.28143,0.71788,0.94846,0.78282,0.60884,0.70537,0.42462,1.23213,0.67497,0.92675,0.008614,0.008614,0.008614
16,3418.66,1.28685,0.71465,0.95085,0.79491,0.60598,0.70801,0.42868,1.21531,0.66493,0.9218,0.008515,0.008515,0.008515
17,219.534,1.29067,0.71801,0.94666,0.79175,0.61443,0.71522,0.4322,1.22142,0.6676,0.92328,0.008416,0.008416,0.008416
18,444.804,1.27163,0.70481,0.94597,0.79626,0.61862,0.71657,0.43498,1.21264,0.66105,0.92302,0.008317,0.008317,0.008317
19,670.239,1.27252,0.69783,0.94404,0.7993,0.61756,0.71579,0.43302,1.2174,0.66067,0.92034,0.008218,0.008218,0.008218
20,890.42,1.26529,0.69642,0.94166,0.7949,0.62206,0.72084,0.43962,1.1974,0.65233,0.91648,0.008119,0.008119,0.008119
21,1101.88,1.24476,0.68469,0.93894,0.79463,0.62499,0.71863,0.43515,1.20146,0.65468,0.91731,0.00802,0.00802,0.00802
22,1312.69,1.26112,0.68831,0.93806,0.80317,0.62189,0.7192,0.439,1.2008,0.64891,0.91898,0.007921,0.007921,0.007921
23,1523.18,1.25096,0.68316,0.93617,0.79809,0.61457,0.71448,0.43066,1.22379,0.65895,0.92243,0.007822,0.007822,0.007822
24,1733.14,1.24859,0.68246,0.93592,0.80919,0.62202,0.72386,0.43933,1.19991,0.64542,0.91518,0.007723,0.007723,0.007723
25,1941.83,1.23878,0.67412,0.93392,0.81077,0.62567,0.72844,0.44326,1.19449,0.64018,0.9144,0.007624,0.007624,0.007624
26,2151.73,1.22804,0.67027,0.93204,0.80139,0.63025,0.72526,0.44164,1.20354,0.64656,0.91755,0.007525,0.007525,0.007525
27,2362.06,1.23018,0.66842,0.93395,0.8112,0.63258,0.7326,0.44665,1.19283,0.63862,0.91149,0.007426,0.007426,0.007426
28,2571.82,1.22709,0.667,0.93244,0.80668,0.63461,0.73057,0.44487,1.1914,0.63766,0.91242,0.007327,0.007327,0.007327
29,2782.16,1.22843,0.66582,0.93128,0.80805,0.63554,0.73371,0.44762,1.19412,0.63664,0.91223,0.007228,0.007228,0.007228
